Quintile,Job,Value,Year
2,Manufactured Building and Mobile Home Installers,100,2007
2,"Bus Drivers, School or Special Client",100,2007
2,Cooling and Freezing Equipment Operators and Tenders,100,2007
2,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",100,2007
2,Coaches and Scouts,100,2007
2,Etchers and Engravers,100,2007
2,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",100,2007
2,Photographers,100,2007
2,Butchers and Meat Cutters,100,2007
2,Furniture Finishers,100,2007
2,Ophthalmic Laboratory Technicians,100,2007
2,Skincare Specialists,100,2007
2,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",100,2007
2,Electrical and Electronic Equipment Assemblers,100,2007
2,"Model Makers, Wood",100,2007
2,Fiberglass Laminators and Fabricators,100,2007
2,Social and Human Service Assistants,100,2007
2,"Shipping, Receiving, and Traffic Clerks",100,2007
2,First-Line Supervisors of Food Preparation and Serving Workers,100,2007
2,"Molders, Shapers, and Casters, Except Metal and Plastic",100,2007
2,Pharmacy Technicians,100,2007
2,Medical Assistants,100,2007
2,Light Truck or Delivery Services Drivers,100,2007
2,Dancers,100,2007
2,Order Clerks,100,2007
2,Parts Salespersons,100,2007
3,Craft Artists,100,2007
3,Gaming Surveillance Officers and Gaming Investigators,100,2007
3,Conveyor Operators and Tenders,100,2007
3,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",100,2007
3,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",100,2007
3,rc_Bookbinders/Bindery workers,100,2007
3,Adhesive Bonding Machine Operators and Tenders,100,2007
3,"Interviewers, Except Eligibility and Loan",100,2007
3,Upholsterers,100,2007
3,Construction Laborers,100,2007
3,Psychiatric Technicians,100,2007
3,Pest Control Workers,100,2007
3,Fence Erectors,100,2007
3,Industrial Truck and Tractor Operators,100,2007
3,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",100,2007
3,Veterinary Technologists and Technicians,100,2007
3,Outdoor Power Equipment and Other Small Engine Mechanics,100,2007
3,Foundry Mold and Coremakers,100,2007
3,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",100,2007
3,Customer Service Representatives,100,2007
3,Musical Instrument Repairers and Tuners,100,2007
3,Library Technicians,100,2007
3,Farm labor contractors,100,2007
3,Travel guides,100,2007
3,Medical Equipment Preparers,100,2007
3,"Coil Winders, Tapers, and Finishers",100,2007
3,"Transportation Workers, All Other",100,2007
3,Cabinetmakers and Bench Carpenters,100,2007
3,Emergency Medical Technicians and Paramedics,100,2007
3,"Metal Workers and Plastic Workers, All Other",100,2007
3,"Coin, Vending, and Amusement Machine Servicers and Repairers",100,2007
3,"rc_Healthcare Support Workers, All Other/Phlebotomists",100,2007
3,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",100,2007
3,Medical Secretaries,100,2007
3,"Electronic Equipment Installers and Repairers, Motor Vehicles",100,2007
3,"Cutting and Slicing Machine Setters, Operators, and Tenders",100,2007
3,Electromechanical Equipment Assemblers,100,2007
3,Helpers--Extraction Workers,100,2007
3,Teacher Assistants,100,2007
3,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",100,2007
3,Animal Control Workers,100,2007
3,Fitness Trainers and Aerobics Instructors,100,2007
3,New Accounts Clerks,100,2007
3,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",100,2007
3,"rc_Financial Clerks, All Other/Office and Administrative Support Workers, All Other",100,2007
3,"Rock Splitters, Quarry",100,2007
3,Tree Trimmers and Pruners,100,2007
3,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",100,2007
3,"Insulation Workers, Floor, Ceiling, and Wall",100,2007
3,Slot Supervisors,100,2007
3,"Entertainers and Performers, Sports and Related Workers, All Other",100,2007
3,Reservation and Transportation Ticket Agents and Travel Clerks,100,2007
3,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",100,2007
3,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",100,2007
3,Bill and Account Collectors,100,2007
3,Automotive Glass Installers and Repairers,100,2007
3,"rc_Sales and Related Workers, All Other/Fundraisers",100,2007
3,Proofreaders and Copy Markers,100,2007
3,Telephone Operators,100,2007
3,Log Graders and Scalers,100,2007
3,Refuse and Recyclable Material Collectors,100,2007
3,Semiconductor Processors,100,2007
3,Motorcycle Mechanics,100,2007
3,Floor Sanders and Finishers,100,2007
3,"Opticians, Dispensing",100,2007
3,Logging Equipment Operators,100,2007
3,Fishers and Related Fishing Workers,100,2007
3,Billing and Posting Clerks,100,2007
3,"Credit Authorizers, Checkers, and Clerks",100,2007
3,Segmental Pavers,100,2007
3,Tax Preparers,100,2007
3,"Mixing and Blending Machine Setters, Operators, and Tenders",100,2007
3,Rehabilitation Counselors,100,2007
3,Forest and Conservation Technicians,100,2007
3,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",100,2007
3,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",100,2007
3,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",100,2007
3,Medical Transcriptionists,100,2007
3,Septic Tank Servicers and Sewer Pipe Cleaners,100,2007
3,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",100,2007
